Code_Without_Decimal,Title,OPCS_Version
A093,Removal of brain neurostimulator,4.1
A094,Operation on brain neurostimulator NEC,4.1
A095,Insertion of neurostimulator electrodes into the brain,4.1
A098,Other specified neurostimulation of brain,4.1
A099,Unspecified neurostimulation of brain,4.1
A10,Other operations on tissue of brain,4.1
A101,Leucotomy NEC,4.1
A102,Aspiration of abscess of tissue of brain,4.1
A103,Aspiration of haematoma of tissue of brain,4.1
A104,Aspiration of lesion of tissue of brain NEC,4.1
A105,Puncture of tissue of brain NEC,4.1
A106,Insertion of carmustine wafers in neoplasm of tissue of brain,4.1
A107,Stereotactic radiosurgery on tissue of brain,4.1
A108,Other specified other operations on tissue of brain,4.1
A109,Unspecified other operations on tissue of brain,4.1
A11,Operations on tissue of brain,4.1
A111,Placement of depth electrodes for electroencephalography,4.1
A112,Placement of surface electrodes for electroencephalography,4.1
A113,Monitoring of pressure in tissue of brain,4.1
A114,Cortical mapping,4.1
A118,Other specified operations on tissue of brain,4.1
A119,Unspecified operations on tissue of brain,4.1
A12,Creation of connection from ventricle of brain,4.1
A121,Ventriculocisternostomy,4.1
A122,Creation of ventriculovascular shunt,4.1
A123,Creation of ventriculopleural shunt,4.1
A124,Creation of ventriculoperitoneal shunt,4.1
A125,Creation of subcutaneous cerebrospinal fluid reservoir,4.1
A128,Other specified creation of connection from ventricle of brain,4.1
A129,Unspecified creation of connection from ventricle of brain,4.1
A13,Attention to component of connection from ventricle of brain,4.1
A131,Maintenance of proximal catheter of cerebroventricular shunt,4.1
A132,Maintenance of distal catheter of cerebroventricular shunt,4.1
A133,Insertion of antisyphon device into cerebroventricular shunt,4.1
A134,Renewal of valve of cerebroventricular shunt,4.1
A138,Other specified attention to component of connection from ventricle of brain,4.1
A139,Unspecified attention to component of connection from ventricle of brain,4.1
A14,Other operations on connection from ventricle of brain,4.1
A141,Renewal of cerebroventricular shunt,4.1
A142,Revision of cerebroventricular shunt NEC,4.1
A143,Removal of cerebroventricular shunt,4.1
A144,Irrigation of cerebroventricular shunt,4.1
A145,Attention to cerebroventricular shunt NEC,4.1
A148,Other specified other operations on connection from ventricle of brain,4.1
A149,Unspecified other operations on connection from ventricle of brain,4.1
A16,Other open operations on ventricle of brain,4.1
A161,Open drainage of ventricle of brain NEC,4.1
A168,Other specified other open operations on ventricle of brain,4.1
A169,Unspecified other open operations on ventricle of brain,4.1
A17,Therapeutic endoscopic operations on ventricle of brain,4.1
A171,Endoscopic extirpation of lesion of ventricle of brain,4.1
A172,Endoscopic third ventriculostomy,4.1
A178,Other specified therapeutic endoscopic operations on ventricle of brain,4.1
A179,Unspecified therapeutic endoscopic operations on ventricle of brain,4.1
A18,Diagnostic endoscopic examination of ventricle of brain,4.1
A181,Diagnostic endoscopic examination of ventricle of brain and biopsy of lesion of ventricle of brain,4.1
A188,Other specified diagnostic endoscopic examination of ventricle of brain,4.1
A189,Unspecified diagnostic endoscopic examination of ventricle of brain,4.1
A20,Other operations on ventricle of brain,4.1
A201,Drainage of ventricle of brain NEC,4.1
A202,Ventriculography of brain,4.1
A203,Monitoring of pressure in ventricle of brain,4.1
A208,Other specified other operations on ventricle of brain,4.1
A209,Unspecified other operations on ventricle of brain,4.1
A22,Operations on subarachnoid space of brain,4.1
A221,Drainage of subarachnoid space of brain,4.1
A222,Puncture of cistern of brain,4.1
A223,Isotopic cisternography,4.1
A228,Other specified operations on subarachnoid space of brain,4.1
A229,Unspecified operations on subarachnoid space of brain,4.1
A24,Graft to cranial nerve,4.1
A241,Primary microsurgical graft to facial nerve (vii),4.1
A242,Secondary microsurgical graft to facial nerve (vii),4.1
A243,Microsurgical graft to facial nerve (vii) NEC,4.1
A244,Primary microsurgical graft to cranial nerve NEC,4.1
A245,Secondary microsurgical graft to cranial nerve NEC,4.1
A246,Microsurgical graft to cranial nerve NEC,4.1
A248,Other specified graft to cranial nerve,4.1
A249,Unspecified graft to cranial nerve,4.1
A25,Intracranial transection of cranial nerve,4.1
A251,Intracranial transection of optic nerve (ii),4.1
A252,Intracranial transection of oculomotor nerve (iii),4.1
A253,Intracranial transection of trigeminal nerve (v),4.1
A254,Intracranial transection of facial nerve (vii),4.1
A255,Intracranial transection of acoustic nerve (viii),4.1
A256,Intracranial transection of glossopharyngeal nerve (ix),4.1
A257,Intracranial transection of vagus nerve (x),4.1
A258,Intracranial transection of specified cranial nerve NEC,4.1
A259,Unspecified intracranial transection of cranial nerve,4.1
A26,Other intracranial destruction of cranial nerve,4.1
A261,Intracranial destruction of optic nerve (ii),4.1
A262,Intracranial destruction of oculomotor nerve (iii),4.1
A263,Intracranial destruction of trigeminal nerve (v),4.1
A264,Intracranial destruction of facial nerve (vii),4.1
A265,Intracranial destruction of acoustic nerve (viii),4.1
A266,Intracranial destruction of glossopharyngeal nerve (ix),4.1
A267,Intracranial destruction of vagus nerve (x),4.1
A268,Intracranial destruction of specified cranial nerve NEC,4.1
A269,Unspecified other intracranial destruction of cranial nerve,4.1
A27,Extracranial extirpation of vagus nerve (x),4.1
A271,Extracranial truncal vagotomy,4.1
A272,Proximal gastric vagotomy,4.1
A273,Selective extracranial vagotomy NEC,4.1
A278,Other specified extracranial extirpation of vagus nerve (x),4.1
A279,Unspecified extracranial extirpation of vagus nerve (x),4.1
A28,Extracranial extirpation of other cranial nerve,4.1
A281,Extracranial transection of trigeminal nerve (v) NEC,4.1
A282,Extracranial transection of accessory nerve (xi) NEC,4.1
A288,Other specified extracranial extirpation of other cranial nerve,4.1
A289,Unspecified extracranial extirpation of other cranial nerve,4.1
A29,Excision of lesion of cranial nerve,4.1
A291,Excision of lesion of optic nerve (ii),4.1
A292,Excision of lesion of oculomotor nerve (iii),4.1
A293,Excision of lesion of trigeminal nerve (v),4.1
A294,Excision of lesion of facial nerve (vii),4.1
A295,Excision of lesion of acoustic nerve (viii),4.1
A296,Excision of lesion of glossopharyngeal nerve (ix),4.1
A297,Excision of lesion of vagus nerve (x),4.1
A298,Excision of lesion of specified cranial nerve NEC,4.1
A299,Unspecified excision of lesion of cranial nerve,4.1
A30,Repair of cranial nerve,4.1
A301,Repair of optic nerve (ii),4.1
A302,Repair of oculomotor nerve (iii),4.1
A303,Repair of trigeminal nerve (v),4.1
A304,Repair of facial nerve (vii),4.1
A305,Repair of acoustic nerve (viii),4.1
A306,Repair of glossopharyngeal nerve (ix),4.1
A307,Repair of vagus nerve (x),4.1
A308,Repair of specified cranial nerve NEC,4.1
A309,Unspecified repair of cranial nerve,4.1
A31,Intracranial stereotactic release of cranial nerve,4.1
A311,Intracranial stereotactic neurolysis of optic nerve (ii),4.1
A312,Intracranial stereotactic neurolysis of oculomotor nerve (iii),4.1
A313,Intracranial stereotactic neurolysis of trigeminal nerve (v),4.1
A314,Intracranial stereotactic neurolysis of facial nerve (vii),4.1
A315,Intracranial stereotactic neurolysis of acoustic nerve (viii),4.1
A316,Intracranial stereotactic neurolysis of glossopharyngeal nerve (ix),4.1
A317,Intracranial stereotactic neurolysis of vagus nerve (x),4.1
A318,Intracranial stereotactic neurolysis of specified cranial nerve NEC,4.1
A319,Unspecified intracranial stereotactic release of cranial nerve,4.1
A32,Other decompression of cranial nerve,4.1
A321,Decompression of optic nerve (ii),4.1
A322,Decompression of oculomotor nerve (iii),4.1
A323,Decompression of trigeminal nerve (v),4.1
A324,Decompression of facial nerve (vii),4.1
A325,Decompression of acoustic nerve (viii),4.1
A326,Decompression of glossopharyngeal nerve (ix),4.1
A327,Decompression of vagus nerve (x),4.1
A328,Decompression of specified cranial nerve NEC,4.1
A329,Unspecified other decompression of cranial nerve,4.1
A33,Neurostimulation of cranial nerve,4.1
A331,Implantation of cranial nerve neurostimulator,4.1
A332,Maintenance of cranial nerve neurostimulator,4.1
A333,Removal of cranial nerve neurostimulator,4.1
A334,Insertion of neurostimulator electrodes adjacent to the cranial nerve,4.1
A338,Other specified neurostimulation of cranial nerve,4.1
A339,Unspecified neurostimulation of cranial nerve,4.1
A34,Exploration of cranial nerve,4.1
A341,Exploration of optic nerve (ii),4.1
A342,Exploration of oculomotor nerve (iii),4.1
A343,Exploration of trigeminal nerve (v),4.1
A344,Exploration of facial nerve (vii),4.1
A345,Exploration of acoustic nerve (viii),4.1
A346,Exploration of glossopharyngeal nerve (ix),4.1
A347,Exploration of vagus nerve (x),4.1
A348,Exploration of specified cranial nerve NEC,4.1
A349,Unspecified exploration of cranial nerve,4.1
A36,Other operations on cranial nerve,4.1
A361,Hypoglossofacial anastomosis,4.1
A362,Anastomosis of cranial nerve NEC,4.1
A363,Biopsy of lesion of cranial nerve,4.1
A364,Radial optic neurotomy (ii),4.1
A365,Denervation of trigeminal nerve (v),4.1
A368,Other specified other operations on cranial nerve,4.1
A369,Unspecified other operations on cranial nerve,4.1
A38,Extirpation of lesion of meninges of brain,4.1
A381,Extirpation of lesion of meninges of cortex of brain,4.1
A382,Extirpation of lesion of meninges of sphenoidal ridge of cranium,4.1
A383,Extirpation of lesion of meninges of subfrontal region of brain,4.1
A384,Extirpation of lesion of meninges of parasagittal region of brain,4.1
A385,Extirpation of lesion of falx cerebri,4.1
A386,Extirpation of lesion of tentorium cerebelli,4.1
A388,Other specified extirpation of lesion of meninges of brain,4.1
A389,Unspecified extirpation of lesion of meninges of brain,4.1
A39,Repair of dura,4.1
A391,Repair of meningoencephalocele,4.1
A392,Repair of dura of anterior fossa of cranium,4.1
A393,Repair of dura of middle fossa of cranium,4.1
A394,Repair of dura of posterior fossa of cranium,4.1
A395,Repair of dura of vault of cranium,4.1
A398,Other specified repair of dura,4.1
A399,Unspecified repair of dura,4.1
A40,Drainage of extradural space,4.1
A401,Evacuation of extradural haematoma,4.1
A408,Other specified drainage of extradural space,4.1
A409,Unspecified drainage of extradural space,4.1
A41,Drainage of subdural space,4.1
A411,Evacuation of subdural haematoma,4.1
A412,Drainage of abscess of subdural space,4.1
A418,Other specified drainage of subdural space,4.1
A419,Unspecified drainage of subdural space,4.1
A42,Other operations on meninges of brain,4.1
A421,Creation of anastomosis of dura,4.1
A422,Biopsy of lesion of meninges of brain,4.1
A428,Other specified other operations on meninges of brain,4.1
A429,Unspecified other operations on meninges of brain,4.1
A43,Other extirpation of lesion of meninges of brain,4.1
A431,Extirpation of lesion of meninges of skull base,4.1
A432,Extirpation of lesion of meninges of skull clivus,4.1
A438,Other specified other extirpation of lesion of meninges of brain,4.1
A439,Unspecified other extirpation of lesion of meninges of brain,4.1
A44,Partial extirpation of spinal cord,4.1
A441,Chordectomy of spinal cord,4.1
A442,Extirpation of lesion of spinal cord NEC,4.1
A443,Excision of lesion of intradural intramedullary spinal cord,4.1
A444,Excision of lesion of extradural spinal cord,4.1
A445,Excision of lesion of intradural extramedullary spinal cord,4.1
A448,Other specified partial extirpation of spinal cord,4.1
A449,Unspecified partial extirpation of spinal cord,4.1
A45,Other open operations on spinal cord,4.1
A451,Stereotactic chordotomy of spinal cord,4.1
A452,Open chordotomy of spinal cord NEC,4.1
A453,Myelotomy of spinal cord,4.1
A454,Open biopsy of lesion of spinal cord,4.1
A455,Removal of foreign body from spinal cord,4.1
A456,Open aspiration of lesion of spinal cord,4.1
A458,Other specified other open operations on spinal cord,4.1
A459,Unspecified other open operations on spinal cord,4.1
A47,Other destruction of spinal cord,4.1
A471,Needle destruction of substantia gelatinosa of cervical spinal cord,4.1
A472,Radiofrequency controlled thermal destruction of spinothalamic tract,4.1
A473,Percutaneous chordotomy of spinal cord,4.1
A478,Other specified other destruction of spinal cord,4.1
A479,Unspecified other destruction of spinal cord,4.1
A48,Other operations on spinal cord,4.1
A481,Biopsy of lesion of spinal cord NEC,4.1
A482,Aspiration of lesion of spinal cord,4.1
A483,Implantation of spinal cord neurostimulator,4.1
A484,Attention to spinal cord neurostimulator NEC,4.1
A485,Reprogramming of spinal cord neurostimulator,4.1
A486,Removal of spinal cord neurostimulator,4.1
A487,Insertion of neurostimulator electrodes adjacent to the spinal cord,4.1
A488,Other specified other operations on spinal cord,4.1
A489,Unspecified other operations on spinal cord,4.1
A49,Repair of spina bifida,4.1
A491,Freeing of spinal tether NEC,4.1
A492,Closure of spinal myelomeningocele,4.1
A493,Closure of spinal meningocele,4.1
A494,Complex freeing of spinal tether,4.1
A498,Other specified repair of spina bifida,4.1
A499,Unspecified repair of spina bifida,4.1
A51,Other operations on meninges of spinal cord,4.1
A511,Extirpation of lesion of meninges of spinal cord,4.1
A512,Freeing of adhesions of meninges of spinal cord,4.1
A513,Biopsy of lesion of meninges of spinal cord,4.1
A514,Endoscopic division of epidural adhesions,4.1
A515,Repair of dura of spinal cord,4.1
A518,Other specified other operations on meninges of spinal cord,4.1
A519,Unspecified other operations on meninges of spinal cord,4.1
A52,Therapeutic epidural injection,4.1
A521,Therapeutic lumbar epidural injection,4.1
A522,Therapeutic sacral epidural injection,4.1
A523,Epidural blood patch,4.1
A528,Other specified therapeutic epidural injection,4.1
A529,Unspecified therapeutic epidural injection,4.1
A53,Drainage of spinal canal,4.1
A531,Cerebrospinal syringostomy,4.1
A532,Creation of thecoperitoneal shunt,4.1
A533,Creation of syringoperitoneal shunt,4.1
A534,Creation of lumboperitoneal shunt,4.1
A535,Drainage of cerebrospinal fluid NEC,4.1
A536,Creation of lumbar subcutaneous shunt,4.1
A538,Other specified drainage of spinal canal,4.1
A539,Unspecified drainage of spinal canal,4.1
A54,Therapeutic spinal puncture,4.1
A541,Injection of destructive substance into cerebrospinal fluid,4.1
A542,Injection of therapeutic substance into cerebrospinal fluid,4.1
A543,Implantation of intrathecal drug delivery device adjacent to spinal cord,4.1
A544,Attention to intrathecal drug delivery device adjacent to spinal cord,4.1
A545,Removal of intrathecal drug delivery device adjacent to spinal cord,4.1
A548,Other specified therapeutic spinal puncture,4.1
A549,Unspecified therapeutic spinal puncture,4.1
A55,Diagnostic spinal puncture,4.1
A551,Radiculography,4.1
A552,Spinal myelography NEC,4.1
A553,Spinal manometry,4.1
A558,Other specified diagnostic spinal puncture,4.1
A559,Unspecified diagnostic spinal puncture,4.1
A57,Operations on spinal nerve root,4.1
A571,Extirpation of lesion of spinal nerve root,4.1
A572,Rhizotomy of spinal nerve root,4.1
A573,Radiofrequency controlled thermal destruction of spinal nerve root,4.1
A574,Injection of destructive substance into spinal nerve root,4.1
A575,Destruction of spinal nerve root NEC,4.1
A576,Reimplantation of spinal nerves into spinal cord,4.1
A577,Injection of therapeutic substance around spinal nerve root,4.1
A578,Other specified operations on spinal nerve root,4.1
A579,Unspecified operations on spinal nerve root,4.1
A59,Excision of peripheral nerve,4.1
A591,Total sacrifice of peripheral nerve,4.1
A592,Partial sacrifice of peripheral nerve,4.1
A598,Other specified excision of peripheral nerve,4.1
A599,Unspecified excision of peripheral nerve,4.1
A60,Destruction of peripheral nerve,4.1
A601,Enucleation of peripheral nerve,4.1
A602,Avulsion of peripheral nerve,4.1
A603,Transection of peripheral nerve,4.1
A604,Radiofrequency controlled thermal destruction of peripheral nerve,4.1
A605,Injection of destructive substance into peripheral nerve,4.1
A606,Selective denervation of peripheral nerve,4.1
A608,Other specified destruction of peripheral nerve,4.1
A609,Unspecified destruction of peripheral nerve,4.1
A61,Extirpation of lesion of peripheral nerve,4.1
A611,Excision of lesion of peripheral nerve,4.1
A612,Cryotherapy to lesion of peripheral nerve,4.1
A613,Radiotherapy to lesion of peripheral nerve,4.1
A614,Destruction of lesion of peripheral nerve NEC,4.1
A618,Other specified extirpation of lesion of peripheral nerve,4.1
A619,Unspecified extirpation of lesion of peripheral nerve,4.1
A62,Microsurgical repair of peripheral nerve,4.1
A621,Primary microsurgical graft to peripheral nerve,4.1
A622,Secondary microsurgical graft to peripheral nerve,4.1
A623,Microsurgical graft to peripheral nerve NEC,4.1
A624,Primary microsurgical repair of peripheral nerve NEC,4.1
A625,Secondary microsurgical repair of peripheral nerve NEC,4.1
A626,Microsurgical graft to multiple peripheral nerves NEC,4.1
A627,Microsurgical repair of multiple peripheral nerves NEC,4.1
A628,Other specified microsurgical repair of peripheral nerve,4.1
A629,Unspecified microsurgical repair of peripheral nerve,4.1
A63,Other graft to peripheral nerve,4.1
A631,Primary graft to peripheral nerve NEC,4.1
A632,Secondary graft to peripheral nerve NEC,4.1
A638,Other specified other graft to peripheral nerve,4.1
A639,Unspecified other graft to peripheral nerve,4.1
A64,Other repair of peripheral nerve,4.1
A641,Primary approximation of peripheral nerve,4.1
A642,Primary repair of peripheral nerve NEC,4.1
A643,Secondary repair of peripheral nerve and mobilisation of peripheral nerve,4.1
A644,Secondary repair of peripheral nerve NEC,4.1
A648,Other specified other repair of peripheral nerve,4.1
A649,Unspecified other repair of peripheral nerve,4.1
A65,Release of entrapment of peripheral nerve at wrist,4.1
A651,Carpal tunnel release,4.1
A652,Canal of Guyon release,4.1
A658,Other specified release of entrapment of peripheral nerve at wrist,4.1
A659,Unspecified release of entrapment of peripheral nerve at wrist,4.1
A66,Release of entrapment of peripheral nerve at ankle,4.1
A661,Tarsal tunnel release,4.1
A668,Other specified release of entrapment of peripheral nerve at ankle,4.1
A669,Unspecified release of entrapment of peripheral nerve at ankle,4.1
A67,Release of entrapment of peripheral nerve at other site,4.1
A671,Cubital tunnel release,4.1
A672,Release of entrapment of lateral cutaneous nerve of thigh,4.1
A673,Release of entrapment of plantar digital nerve,4.1
A678,Other specified release of entrapment of peripheral nerve at other site,4.1
A679,Unspecified release of entrapment of peripheral nerve at other site,4.1
A68,Other release of peripheral nerve,4.1
A681,Primary neurolysis of peripheral nerve and transposition of peripheral nerve,4.1
A682,Secondary neurolysis of peripheral nerve and transposition of peripheral nerve,4.1
A683,Neurolysis of peripheral nerve and transposition of peripheral nerve NEC,4.1
A684,Primary neurolysis of peripheral nerve NEC,4.1
A685,Secondary neurolysis of peripheral nerve NEC,4.1
A688,Other specified other release of peripheral nerve,4.1
A689,Unspecified other release of peripheral nerve,4.1
A69,Revision of release of peripheral nerve,4.1
A691,Revision of neurolysis of peripheral nerve and transposition of peripheral nerve,4.1
A692,Revision of carpal tunnel release,4.1
A693,Revision of tarsal tunnel release,4.1
A694,Revision of cubital tunnel release,4.1
A698,Other specified revision of release of peripheral nerve,4.1
A699,Unspecified revision of release of peripheral nerve,4.1
A70,Neurostimulation of peripheral nerve,4.1
A701,Implantation of peripheral nerve neurostimulator,4.1
A702,Maintenance of peripheral nerve neurostimulator,4.1
A703,Removal of peripheral nerve neurostimulator,4.1
A704,Insertion of neurostimulator electrodes adjacent to peripheral nerve,4.1
A705,Electroacupuncture,4.1
A706,Acupuncture NEC,4.1
A707,Application of transcutaneous electrical nerve stimulator,4.1
A708,Other specified neurostimulation of peripheral nerve,4.1
A709,Unspecified neurostimulation of peripheral nerve,4.1
A71,Other microsurgical repair of peripheral nerve,4.1
A711,Primary microsurgical transfer of peripheral nerve,4.1
A712,Secondary microsurgical transfer of peripheral nerve,4.1
A713,Microsurgical transfer of multiple peripheral nerves,4.1
A714,Microsurgical transfer of peripheral nerve NEC,4.1
A718,Other specified other microsurgical repair of peripheral nerve,4.1
A719,Unspecified other microsurgical repair of peripheral nerve,4.1
A73,Other operations on peripheral nerve,4.1
A731,Biopsy of lesion of peripheral nerve,4.1
A732,Freeing of adhesions of peripheral nerve NEC,4.1
A733,Decompression of peripheral nerve NEC,4.1
A734,Exploration of peripheral nerve,4.1
A735,Injection of therapeutic substance around peripheral nerve,4.1
A736,Transfer and reimplantation of peripheral nerve NEC,4.1
A738,Other specified other operations on peripheral nerve,4.1
A739,Unspecified other operations on peripheral nerve,4.1
A75,Excision of sympathetic nerve,4.1
A751,Excision of cervical sympathetic nerve,4.1
A752,Excision of thoracic sympathetic nerve,4.1
A753,Excision of lumbar sympathetic nerve,4.1
A754,Excision of perivascular sympathetic nerve,4.1
A755,Excision of splanchnic sympathetic nerve,4.1
A758,Other specified excision of sympathetic nerve,4.1
A759,Unspecified excision of sympathetic nerve,4.1
A76,Chemical destruction of sympathetic nerve,4.1
A761,Chemical destruction of cervical sympathetic nerve,4.1
A762,Chemical destruction of thoracic sympathetic nerve,4.1
A763,Chemical destruction of lumbar sympathetic nerve,4.1
A764,Chemical destruction of perivascular sympathetic nerve,4.1
A765,Chemical destruction of splanchnic sympathetic nerve,4.1
A768,Other specified chemical destruction of sympathetic nerve,4.1
A769,Unspecified chemical destruction of sympathetic nerve,4.1
A77,Cryotherapy to sympathetic nerve,4.1
A771,Cryotherapy to cervical sympathetic nerve,4.1
A772,Cryotherapy to thoracic sympathetic nerve,4.1
A773,Cryotherapy to lumbar sympathetic nerve,4.1
A774,Cryotherapy to perivascular sympathetic nerve,4.1
A775,Cryotherapy to splanchnic sympathetic nerve,4.1
A778,Other specified cryotherapy to sympathetic nerve,4.1
A779,Unspecified cryotherapy to sympathetic nerve,4.1
A78,Radiofrequency controlled thermal destruction of sympathetic nerve,4.1
A781,Radiofrequency controlled thermal destruction of cervical sympathetic nerve,4.1
A782,Radiofrequency controlled thermal destruction of thoracic sympathetic nerve,4.1
A783,Radiofrequency controlled thermal destruction of lumbar sympathetic nerve,4.1
A784,Radiofrequency controlled thermal destruction of perivascular sympathetic nerve,4.1
A785,Radiofrequency controlled thermal destruction of splanchnic sympathetic nerve,4.1
A788,Other specified radiofrequency controlled thermal destruction of sympathetic nerve,4.1
A789,Unspecified radiofrequency controlled thermal destruction of sympathetic nerve,4.1
A79,Other destruction of sympathetic nerve,4.1
A791,Destruction of cervical sympathetic nerve NEC,4.1
A792,Destruction of thoracic sympathetic nerve NEC,4.1
A793,Destruction of lumbar sympathetic nerve NEC,4.1
A794,Destruction of perivascular sympathetic nerve NEC,4.1
A795,Destruction of splanchnic sympathetic nerve NEC,4.1
A798,Other specified other destruction of sympathetic nerve,4.1
A799,Unspecified other destruction of sympathetic nerve,4.1
A81,Other operations on sympathetic nerve,4.1
A811,Stellate ganglion blockade,4.1
A812,Injection of therapeutic substance around sympathetic nerve,4.1
A818,Other specified other operations on sympathetic nerve,4.1
A819,Unspecified other operations on sympathetic nerve,4.1
A82,Other neurophysiological operations,4.1
A821,Quantitative sensory testing,4.1
A822,Electro-oculography,4.1
A823,Multifocal electroretinography,4.1
A828,Other specified other neurophysiological operations,4.1
A829,Unspecified other neurophysiological operations,4.1
A83,Electroconvulsive therapy,4.1
A838,Other specified electroconvulsive therapy,4.1
A839,Unspecified electroconvulsive therapy,4.1
A84,Neurophysiological operations,4.1
A841,Electroencephalography NEC,4.1
A842,Electromyography,4.1
A843,Nerve conduction studies,4.1
A844,Evoked potential recording,4.1
A845,Electroretinography NEC,4.1
A846,Pattern electroretinography,4.1
A847,Sleep studies NEC,4.1
A848,Other specified neurophysiological operations,4.1
A849,Unspecified neurophysiological operations,4.1
B01,Excision of pituitary gland,4.1
B011,Transethmoidal hypophysectomy,4.1
B012,Trans-sphenoidal hypophysectomy,4.1
B013,Trans-septal hypophysectomy,4.1
B014,Transcranial hypophysectomy,4.1
B018,Other specified excision of pituitary gland,4.1
B019,Unspecified excision of pituitary gland,4.1
B02,Destruction of pituitary gland,4.1
B021,Cryotherapy to pituitary gland,4.1
B022,Implantation of radioactive substance into pituitary gland,4.1
B023,Injection of destructive substance into pituitary gland NEC,4.1
B028,Other specified destruction of pituitary gland,4.1
B029,Unspecified destruction of pituitary gland,4.1
B04,Other operations on pituitary gland,4.1
B041,Excision of lesion of pituitary gland,4.1
B042,Biopsy of lesion of pituitary gland,4.1
B043,Decompression of pituitary gland,4.1
B044,Exploration of pituitary gland,4.1
B045,Operations on pituitary stalk,4.1
B048,Other specified other operations on pituitary gland,4.1
B049,Unspecified other operations on pituitary gland,4.1
B06,Operations on pineal gland,4.1
B061,Excision of pineal gland,4.1
B068,Other specified operations on pineal gland,4.1
B069,Unspecified operations on pineal gland,4.1
B08,Excision of thyroid gland,4.1
B081,Total thyroidectomy,4.1
B082,Subtotal thyroidectomy,4.1
B083,Hemithyroidectomy,4.1
B084,Lobectomy of thyroid gland NEC,4.1
B085,Isthmectomy of thyroid gland,4.1
B086,Partial thyroidectomy NEC,4.1
B088,Other specified excision of thyroid gland,4.1
B089,Unspecified excision of thyroid gland,4.1
B09,Operations on aberrant thyroid tissue,4.1
B091,Excision of substernal thyroid tissue,4.1
B092,Excision of sublingual thyroid tissue,4.1
B098,Other specified operations on aberrant thyroid tissue,4.1
B099,Unspecified operations on aberrant thyroid tissue,4.1
B10,Operations on thyroglossal tissue,4.1
B101,Excision of thyroglossal cyst,4.1
